cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Yerevan,AM,17.09,15.95,17.09,17.09,42,céu limpo,24/09/2025 16:20:14
Dili,TL,26.64,26.64,26.64,26.64,47,nublado,24/09/2025 16:21:39
Budapest,HU,18.15,17.93,17.11,19.36,73,céu limpo,24/09/2025 16:19:29
Tallinn,EE,11.19,9.67,11.19,11.19,50,algumas nuvens,24/09/2025 16:21:42
Beirut,LB,26.41,26.41,24.1,26.41,65,nuvens dispersas,24/09/2025 16:19:05
Minsk,BY,9.43,7.4,9.43,9.43,59,nuvens dispersas,24/09/2025 16:21:22
Pristina,XK,26.11,26.11,25.34,26.77,41,céu limpo,24/09/2025 16:17:43
Funafuti,TV,27.94,31.22,27.94,27.94,75,céu limpo,24/09/2025 16:21:48
Abuja,NG,28.08,33.29,28.08,28.08,86,chuva leve,24/09/2025 16:21:51
Podgorica,ME,25.88,25.67,25.88,25.88,44,nuvens dispersas,24/09/2025 16:21:52
Kingston,JM,34.2,41.2,32.53,35.66,61,algumas nuvens,24/09/2025 16:21:27
Brasília,BR,26.5,26.5,25.9,27.25,56,nublado,24/09/2025 16:21:26
Willemstad,CW,32.95,39.95,32.95,32.95,70,nuvens dispersas,24/09/2025 16:21:56
Khartoum,SD,38.32,37.32,38.32,38.32,21,algumas nuvens,24/09/2025 16:21:59
Madrid,ES,20.4,19.2,19.51,21.68,27,céu limpo,24/09/2025 16:18:29
Kingston,NF,16.23,15.92,16.23,16.23,77,nublado,24/09/2025 16:22:02
Hanoi,VN,29.0,32.01,29.0,29.0,66,chuva leve,24/09/2025 16:22:04
Doha,QA,32.57,32.21,31.94,32.99,35,céu limpo,24/09/2025 16:17:42
Paris,FR,10.44,9.99,9.88,11.1,94,nublado,24/09/2025 16:20:01
Moscow,RU,9.42,7.03,8.24,9.63,52,nuvens dispersas,24/09/2025 16:22:03
Monaco,MC,20.86,19.92,19.67,20.88,35,algumas nuvens,24/09/2025 16:22:12
Athens,GR,25.66,26.0,24.62,26.88,66,algumas nuvens,24/09/2025 16:20:00
Nouakchott,MR,29.96,34.47,29.96,29.96,68,nublado,24/09/2025 16:17:44
Algiers,DZ,24.9,24.67,24.9,24.9,47,algumas nuvens,24/09/2025 16:18:24
Jerusalem,IL,21.51,21.83,21.51,21.51,81,céu limpo,24/09/2025 16:20:09
Saipan,MP,27.49,32.17,26.07,27.58,90,algumas nuvens,24/09/2025 16:22:22
Ljubljana,SI,14.49,14.5,13.63,15.31,96,chuva moderada,24/09/2025 16:22:24
Lima,PE,18.14,18.02,18.14,18.14,77,céu limpo,24/09/2025 16:21:37
Banjul,GM,25.18,26.36,25.18,25.18,100,nublado,24/09/2025 16:22:27
Papeetē,PF,22.96,23.77,22.73,22.96,94,chuva leve,24/09/2025 16:22:28
Tashkent,UZ,20.97,20.17,20.97,20.97,40,céu limpo,24/09/2025 16:22:29
Vilnius,LT,10.79,9.54,10.08,11.49,62,céu limpo,24/09/2025 16:20:57
Dhaka,BD,27.99,33.54,27.99,27.99,89,neblina,24/09/2025 16:19:13
Chișinău,MD,23.29,23.74,19.24,23.29,79,céu limpo,24/09/2025 16:17:59
Moroni,KM,24.22,24.73,24.22,24.22,78,chuva leve,24/09/2025 16:22:35
Sofia,BG,24.88,24.29,24.88,25.83,33,nuvens dispersas,24/09/2025 16:22:36
Douglas,IM,14.88,14.17,14.88,14.88,67,algumas nuvens,24/09/2025 16:22:38
Stockholm,SE,12.43,11.32,11.81,13.36,61,algumas nuvens,24/09/2025 16:19:30
Ramallah,PS,21.44,21.78,21.44,21.44,82,céu limpo,24/09/2025 16:22:42
Bangui,CF,28.1,31.43,28.1,28.1,74,trovoadas,24/09/2025 16:22:44
Bogotá,CO,16.56,15.71,16.38,17.73,55,nublado,24/09/2025 16:18:25
Nairobi,KE,21.89,21.18,21.89,21.89,40,nublado,24/09/2025 16:20:58
Juba,SS,25.72,26.23,25.72,25.72,72,nublado,24/09/2025 16:22:49
Brussels,BE,14.31,13.36,13.43,14.88,60,algumas nuvens,24/09/2025 16:19:03
Sucre,BO,16.13,14.95,16.13,16.13,44,nuvens dispersas,24/09/2025 16:22:54
Tokyo,JP,21.69,21.79,20.37,22.02,72,nuvens dispersas,24/09/2025 16:21:06
Nicosia,CY,27.83,28.35,27.83,27.83,51,céu limpo,24/09/2025 16:22:57
Tbilisi,GE,17.84,17.12,17.84,17.84,55,céu limpo,24/09/2025 16:22:58
Baghdad,IQ,30.95,28.92,30.95,30.95,16,céu limpo,24/09/2025 16:18:53
Ouagadougou,BF,31.07,36.61,31.07,31.07,66,algumas nuvens,24/09/2025 16:23:01
Stanley,FK,6.86,3.6,6.86,6.86,70,algumas nuvens,24/09/2025 16:23:02
Mbabane,SZ,14.28,14.14,14.28,14.28,91,chuva leve,24/09/2025 16:23:04
Fort-de-France,MQ,29.97,35.96,29.97,29.97,74,chuva leve,24/09/2025 16:23:05
Victoria,SC,25.59,26.24,25.59,25.59,78,nuvens dispersas,24/09/2025 16:23:07
Gitega,BI,21.21,20.77,21.21,21.21,53,nublado,24/09/2025 16:23:08
Sarajevo,BA,15.95,16.06,15.95,15.95,94,chuva forte,24/09/2025 16:23:09
Palikir,FM,25.87,26.86,25.41,26.63,90,nublado,24/09/2025 16:23:11
Asmara,ER,18.54,18.09,18.54,18.54,63,nuvens dispersas,24/09/2025 16:23:12
Reykjavik,IS,10.81,9.67,10.5,10.81,66,chuviscos com intensidade de raios,24/09/2025 16:22:57
Lisbon,PT,26.18,26.18,25.32,28.3,31,céu limpo,24/09/2025 16:20:41
Dodoma,TZ,26.15,26.15,26.15,26.15,32,nuvens dispersas,24/09/2025 16:23:20
Saint-Denis,RE,22.1,22.14,22.1,22.1,68,algumas nuvens,24/09/2025 16:23:21
Pretoria,ZA,23.06,22.62,22.4,23.06,46,nublado,24/09/2025 16:22:41
Malabo,GQ,25.92,27.02,25.92,25.92,94,nublado,24/09/2025 16:23:25
Bamako,ML,32.23,36.12,32.23,32.23,55,trovoadas,24/09/2025 16:23:28
Caracas,VE,30.72,37.72,30.72,30.72,74,chuva leve,24/09/2025 16:18:36
Majuro,MH,27.98,31.75,27.98,27.98,78,chuva leve,24/09/2025 16:23:31
Honiara,SB,24.75,25.58,24.75,24.75,88,nublado,24/09/2025 16:23:32
Kathmandu,NP,20.12,20.8,20.12,20.12,100,nublado,24/09/2025 16:22:57
Naypyidaw,MM,23.79,24.76,23.79,23.79,97,chuva leve,24/09/2025 16:23:35
Taipei,TW,28.89,29.64,28.84,28.93,51,algumas nuvens,24/09/2025 16:20:10
Tórshavn,FO,11.66,11.31,11.66,11.66,93,nublado,24/09/2025 16:23:38
Zagreb,HR,15.5,15.43,14.82,15.5,89,garoa de leve intensidade,24/09/2025 16:23:40
Belmopan,BZ,30.71,36.55,30.71,30.71,69,nublado,24/09/2025 16:23:41
Luxembourg,LU,8.41,4.99,7.68,9.18,95,chuva moderada,24/09/2025 16:21:32
Oslo,NO,14.58,13.45,14.58,14.58,52,nublado,24/09/2025 16:21:23
Amman,JO,24.05,24.18,23.75,24.05,64,poeira,24/09/2025 16:23:45
Manama,BH,32.21,35.26,31.99,32.21,52,céu limpo,24/09/2025 16:23:47
Adamstown,PN,20.64,20.74,20.64,20.64,76,céu limpo,24/09/2025 16:23:48
