cidade,codigo_pais,temperatura,sensacao_termica,temperatura_min,temperatura_max,umidade,descricao_clima,horario_medicao
Apia,WS,23.84,24.47,23.84,23.84,84,chuva leve,1758730699
Yamoussoukro,CI,31.59,34.81,31.59,31.94,55,chuva leve,1758730700
Astana,KZ,16.97,16.47,16.97,16.97,67,céu limpo,1758730702
Tirana,AL,25.49,25.4,25.49,25.49,50,algumas nuvens,1758730531
Copenhagen,DK,15.01,13.9,14.19,15.08,51,céu limpo,1758730406
Castries,LC,30.2,37.2,30.07,31.04,79,nublado,1758730706
Santiago,CL,24.81,24.16,24.36,25.33,31,céu limpo,1758730426
Tunis,TN,34.5,32.98,34.5,34.5,24,nublado,1758730710
Nassau,BS,29.99,35.01,29.99,29.99,70,nublado,1758730712
Valletta,MT,26.3,26.3,26.3,26.3,78,algumas nuvens,1758730713
Kralendijk,BQ,32.99,39.99,32.99,32.99,66,nuvens dispersas,1758730639
Marigot,MF,28.5,35.5,27.05,28.88,91,algumas nuvens,1758730716
Islamabad,PK,29.91,34.82,29.91,29.91,70,céu limpo,1758730623
Tegucigalpa,HN,25.81,26.25,25.81,26.42,69,nuvens dispersas,1758730704
Skopje,MK,30.82,29.06,30.82,30.82,23,algumas nuvens,1758730693
Montevideo,UY,12.94,11.86,12.55,14.01,60,algumas nuvens,1758730466
Beijing,CN,15.94,14.79,15.94,15.94,46,céu limpo,1758730500
Muscat,OM,31.12,35.36,31.12,31.12,61,céu limpo,1758730478
Suva,FJ,18.71,19.25,18.71,18.71,100,algumas nuvens,1758730529
Amsterdam,NL,15.21,14.33,14.89,15.55,59,algumas nuvens,1758730661
Managua,NI,31.69,35.8,31.69,31.69,58,nuvens dispersas,1758730654
Jamestown,SH,16.48,16.14,16.48,16.48,75,nublado,1758730737
Avarua,CK,20.03,19.99,20.03,20.03,73,nublado,1758730739
Oranjestad,AW,32.97,39.97,32.97,32.97,62,algumas nuvens,1758730742
Belgrade,RS,25.4,25.41,23.54,25.74,54,chuva forte,1758730561
Bern,CH,11.76,10.82,11.25,13.97,70,chuva leve,1758730509
Vientiane,LA,25.97,25.97,25.97,25.97,73,nublado,1758730698
Maputo,MZ,21.79,22.3,21.79,21.82,87,nublado,1758730546
Libreville,GA,26.06,26.06,26.06,26.06,77,nublado,1758730750
Rome,IT,23.77,23.8,22.63,25.32,61,nuvens dispersas,1758730500
Lomé,TG,24.41,25.23,24.41,24.41,89,chuva leve,1758730561
Philipsburg,SX,28.92,35.92,27.13,28.97,90,algumas nuvens,1758730633
Monrovia,LR,26.65,26.65,26.65,26.65,76,nublado,1758730756
Rabat,MA,22.04,22.08,22.04,22.04,68,nublado,1758730461
Kyiv,UA,12.62,12.05,12.62,12.62,81,nublado,1758730759
Saint-Pierre,PM,15.98,15.51,15.98,15.98,72,nublado,1758730760
Hagåtña,GU,27.0,30.95,26.83,28.01,92,nublado,1758730762
Helsinki,FI,9.27,7.05,7.78,10.43,55,céu limpo,1758730545
Bangkok,TH,28.47,31.45,28.28,28.94,69,nublado,1758730766
Port-au-Prince,HT,32.79,37.34,32.79,32.79,55,nuvens dispersas,1758730768
Vaduz,LI,12.06,11.72,9.99,12.59,92,chuva leve,1758730716
Dublin,IE,14.66,14.22,13.82,15.21,78,nublado,1758730728
Kabul,AF,20.34,19.03,20.34,20.34,23,céu limpo,1758730772
Jakarta,ID,28.77,31.09,25.5,28.94,63,nublado,1758730544
Basseterre,KN,31.21,38.17,31.21,31.21,70,chuva leve,1758730776
Kampala,UG,21.97,21.95,21.97,21.97,66,nublado,1758730779
